words	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust
abaküs	0	0	0	0	0	0	0	0	0	1
abanoz	0	0	0	0	0	0	0	0	0	0
abartı	0	0	0	0	0	0	0	0	0	0
abartılı	0	0	0	0	0	1	0	0	0	0
abartma	0	0	0	0	0	0	0	0	1	0
abartmak	1	0	0	0	0	1	0	0	0	0
abba	0	0	0	0	0	0	1	0	0	0
aberasyon	0	0	1	0	0	1	0	0	0	0
ablasyon	0	0	0	0	0	0	0	0	0	0
abone	0	0	0	0	0	0	0	0	0	0
abone ol	0	1	0	0	0	0	0	0	0	0
abur cubur	0	0	0	0	0	0	0	0	0	0
aç	0	1	0	0	0	1	0	0	0	0
açacak	0	0	0	0	0	0	0	0	0	0
acayip	0	0	0	0	0	1	0	0	0	0
acayiplik	0	0	0	0	0	0	0	0	0	0
acele	0	1	0	0	0	0	0	0	0	0
aceleci	0	0	0	0	0	1	0	0	0	0
acemi	0	0	0	0	0	0	0	0	0	0
açgözlü	0	1	0	0	0	1	0	0	0	0
açgözlülük	1	0	1	0	0	1	0	0	0	0
acil	0	1	0	1	0	1	0	0	1	0
acil Durum	0	0	0	1	0	1	0	1	1	0
aciliyet	0	1	0	1	0	0	0	0	1	0
aciz	0	0	0	0	0	0	0	0	0	0
acı	1	0	1	0	0	1	0	1	0	0
açı	0	0	0	0	0	0	0	0	0	0
acı çekmek	0	0	0	0	0	1	0	0	0	0
acı çektirmek	1	0	0	1	0	1	0	0	0	0
acı veren	0	0	0	1	0	1	0	0	0	0
acı verici	1	0	1	1	0	1	0	1	0	0
açığa vurmak	1	0	1	0	0	1	0	1	1	0
açık	0	0	0	0	0	1	0	0	0	0
açık arttırma	0	1	0	0	0	0	0	0	0	0
açık saçık	0	0	0	0	0	0	0	0	0	0
açık sözlü	0	0	0	0	0	0	0	0	0	0
açık sözlülük	0	0	0	0	0	0	1	0	0	1
açıkça	0	0	0	0	0	0	0	0	0	0
açıkça söylemek	0	0	0	0	0	0	0	0	0	0
açıklama	0	0	0	0	0	0	0	0	0	0
açıklamak	0	0	0	0	0	0	1	0	0	0
açıklanamaz	0	0	0	0	0	1	0	0	1	0
açıklanmamış	0	1	0	0	0	1	0	1	0	0
açıklanması	0	0	0	0	0	0	0	0	0	0
açıklayıcı	0	0	0	0	0	0	0	0	0	0
acıklı	0	0	1	0	0	1	0	1	0	0
açıklık	0	0	0	0	0	0	0	0	0	0
acılık	1	0	1	0	0	1	0	1	0	0
açılış	0	1	0	0	0	0	0	0	0	0
açılış yapmak	0	0	0	0	0	0	0	0	0	0
açılmak	0	1	0	0	0	0	1	0	0	0
açılmamış	0	0	0	0	0	0	0	0	0	0
acıma	0	0	0	0	0	0	0	0	0	0
acımasız	1	0	0	1	0	1	0	0	0	0
acımasızlık	1	0	1	1	0	1	0	1	0	0
acımış	0	0	1	0	0	1	0	0	0	0
açısal	0	0	0	0	0	0	0	0	0	0
açlık	0	0	0	0	0	0	0	0	0	0
açlıktan	0	0	0	0	0	1	0	0	0	0
açma	1	0	0	0	0	1	0	1	0	0
açmak	0	0	0	0	0	0	0	0	0	0
ad takmak	0	0	0	0	0	0	0	0	0	0
ada	0	0	0	0	0	0	0	0	0	0
adaçayı	0	0	0	0	0	0	1	0	0	1
adacık	0	0	0	0	0	0	0	0	0	0
adak olarak verilen	0	0	0	0	0	0	0	0	0	1
adalar	0	0	0	0	0	0	0	0	0	0
adalet	0	0	0	0	0	0	1	0	0	1
adaletsiz	0	0	0	0	0	1	0	0	0	0
adaletsizlik	1	0	0	0	0	1	0	0	0	0
adam	0	0	0	0	0	0	0	0	0	0
adam kayırma	0	0	0	0	0	0	1	0	0	0
adam öldürme	1	0	1	1	0	1	0	1	1	0
adamak	0	0	0	0	0	0	0	0	0	0
adaş	0	0	0	0	0	0	0	0	0	0
aday	0	0	0	0	0	0	0	0	0	0
adaylık	0	0	0	0	0	0	0	0	0	0
adi	1	0	1	0	0	1	0	0	0	0
adil	0	0	0	0	0	0	0	0	0	0
adı çıkma	1	0	1	1	0	1	1	0	0	0
adı geçen	0	0	0	0	0	0	0	0	0	0
adım	0	0	0	0	0	0	0	0	0	0
adımlar	0	0	0	0	0	0	0	0	0	0
adjuvan	0	0	0	0	0	0	0	0	0	0
adlandırma	0	0	0	0	0	0	0	0	0	0
adlandırmak	0	0	0	0	0	0	0	0	0	0
adli	1	0	1	1	0	1	0	0	0	0
Adliye	0	0	0	0	0	0	0	0	0	0
Adobe	0	0	0	0	0	0	0	0	0	0
adres	0	0	0	0	0	0	0	0	0	0
adresler	0	1	0	0	0	0	1	0	0	0
adsız	0	0	0	0	0	0	0	0	0	0
advisement	0	0	0	0	0	0	0	0	0	0
